bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1,FN1,GAPDH
BRCA186,BRCA,1.8045,-0.3054285714,1.83425,4.60075,0.257375,2.562708333,-0.7953333333
BRCA187,BRCA,0.363375,-2.323214286,-1.430416667,-2.321083333,-2.393,-0.6630416667,-0.2460833333
BRCA188,BRCA,1.28725,0.6904285714,2.481333333,2.422,3.15325,1.697833333,-0.8488333333
BRCA189,BRCA,-3.624,-1.704714286,-1.379833333,-3.718416667,-0.94975,-0.3235833333,0.1061666667
BRCA190,BRCA,2.69875,1.073428571,1.01125,4.304833333,2.249375,0.866,-1.782166667
BRCA191,BRCA,3.17075,1.170571429,1.671333333,3.017666667,2.89275,0.005083333333,-1.839083333
BRCA192,BRCA,-3.624625,2.184214286,-1.108666667,-4.13025,-2.079125,-0.8963333333,-0.44925
BRCA193,BRCA,2.371375,1.042642857,2.488166667,5.187333333,3.048375,-0.03120833333,-1.59625
BRCA194,BRCA,0.268875,0.1300714286,0.17225,-3.577416667,2.65625,-1.293333333,-1.11525
BRCA195,BRCA,1.244625,1.317428571,1.680083333,2.980833333,2.47525,1.895041667,-1.8585
BRCA196,BRCA,2.316125,1.013642857,2.775083333,4.643,3.425,-0.33,-2.279833333
BRCA197,BRCA,2.315,0.3433571429,1.65625,2.879416667,2.63625,0.3463333333,-0.9896666667
BRCA198,BRCA,1.188625,0.5513571429,0.5806666667,-1.214583333,1.9875,1.463333333,-0.5946666667
BRCA199,BRCA,1.27475,0.8496428571,2.381666667,4.3,3.354375,-0.481625,-1.6315
BRCA200,BRCA,-1.868375,0.4466428571,-1.0755,-0.4478333333,1.038125,0.6937083333,-0.4115
BRCA201,BRCA,2.180125,0.3393571429,2.032083333,4.015416667,-0.388875,1.420666667,-0.3610833333
BRCA202,BRCA,2.37625,0.5297857143,1.915166667,3.697916667,1.300875,0.9224166667,-1.94975
BRCA203,BRCA,-1.70975,1.135785714,0.7323333333,-4.1725,-1.8495,0.001125,0.2108333333
BRCA204,BRCA,2.046875,0.9641428571,3.506083333,4.21075,3.456,0.2789166667,-1.631666667
BRCA205,BRCA,0.86175,1.232214286,1.38725,1.924,2.2615,3.23075,-0.2988333333
BRCA206,BRCA,1.6745,1.610785714,2.142833333,4.22175,3.34025,1.206666667,-0.1755
BRCA207,BRCA,2.569125,0.2947857143,3.936416667,5.569,3.920375,0.9845416667,-1.570333333
BRCA208,BRCA,2.277375,0.6901428571,2.087083333,5.190583333,3.842375,0.524875,-0.8700833333
BRCA209,BRCA,1.538375,0.7527142857,2.506666667,4.047916667,1.032375,1.498166667,-1.838833333
BRCA210,BRCA,2.821375,0.9165,2.363583333,5.67075,0.397625,-1.042916667,-1.931166667
BRCA211,BRCA,-2.235625,0.255,-0.2306666667,0.1144166667,1.884,-0.125625,0.8585833333
BRCA212,BRCA,2.401625,0.754,2.621583333,4.593666667,2.797375,0.49275,-0.9400833333
BRCA213,BRCA,1.39775,1.534714286,1.670833333,2.184333333,1.97825,1.396416667,-0.007333333333
BRCA214,BRCA,1.7015,1.142142857,1.5125,2.309583333,2.79775,0.782875,-1.608416667
BRCA215,BRCA,2.329875,0.3437142857,3.1175,1.616916667,0.926625,-0.2884583333,-0.1314166667
BRCA216,BRCA,2.716375,-0.4048571429,0.2489166667,2.2985,2.030375,1.534458333,-0.9241666667
BRCA217,BRCA,2.266,0.1814285714,3.512,4.237916667,1.714,-0.9394166667,-1.323583333
BRCA218,BRCA,2.763375,0.1537857143,2.259583333,4.404916667,-1.270875,-0.403625,-1.554166667
BRCA219,BRCA,2.84425,0.9012142857,1.925083333,3.811083333,1.3525,-1.263875,-1.188083333
BRCA220,BRCA,2.177375,-0.2551428571,2.067,2.38,1.24825,-1.036541667,-1.796666667
BRCA221,BRCA,-0.996375,1.453,0.05575,-1.60025,2.25425,0.8069166667,-0.5813333333
BRCA222,BRCA,2.1805,0.8515714286,2.393,2.594166667,1.468875,0.4942916667,-1.6395
BRCA223,BRCA,0.150625,-1.615642857,2.0535,-1.74525,1.39925,0.07925,-0.7811666667
BRCA224,BRCA,3.5125,0.5457142857,2.465916667,4.860166667,-0.191125,-1.80025,-1.26475
BRCA225,BRCA,-3.02475,0.9110714286,-0.2628333333,-3.170083333,2.7195,0.3495833333,-0.4835833333
BRCA226,BRCA,3.149875,1.133642857,2.10875,3.49725,3.39625,1.451166667,-1.641666667
BRCA227,BRCA,-0.578,-0.9659285714,-0.9639166667,-1.212666667,1.312125,0.089,-0.6006666667
BRCA228,BRCA,2.46925,0.008357142857,1.9085,4.98875,2.11825,-0.11125,-1.237666667
BRCA229,BRCA,2.521625,1.035928571,2.12025,4.399083333,3.497875,1.125458333,-1.2105
BRCA230,BRCA,1.65825,0.9337857143,0.01825,3.152416667,0.409375,0.825125,-1.405916667
BRCA231,BRCA,1.434375,0.7295,1.726,3.05675,3.42775,1.267083333,-1.569083333
BRCA232,BRCA,2.069875,0.2610714286,0.3968333333,2.480083333,2.080375,-0.620375,-1.277
BRCA233,BRCA,0.783375,0.5451428571,0.2244166667,2.5715,-0.022,-2.15225,-1.665
BRCA234,BRCA,1.52525,-1.660785714,2.432916667,3.411583333,3.033875,-1.035166667,-0.08933333333
BRCA235,BRCA,-0.547625,1.1375,1.308083333,-1.7225,3.327125,1.464833333,-1.0735
BRCA236,BRCA,1.575875,1.606857143,3.575583333,3.731333333,3.174875,0.359,-1.515583333
BRCA237,BRCA,3.765875,1.159071429,2.687,3.696333333,1.04075,-0.913375,-1.489916667
BRCA238,BRCA,2.972,1.218142857,3.529166667,4.77225,0.78075,-2.231208333,-2.0225
BRCA239,BRCA,2.32575,1.722142857,2.694916667,4.3685,3.0605,-0.248125,-1.366083333
BRCA240,BRCA,-1.79525,-0.2612307692,-2.28225,-3.828636364,-0.29275,-0.1816666667,-1.085416667
BRCA241,BRCA,2.260625,0.9953571429,2.3895,2.04625,3.370625,1.54425,-1.007
BRCA242,BRCA,-1.76325,-1.535,-1.51825,-4.563583333,1.673125,-1.50675,-0.3354166667
BRCA243,BRCA,2.84325,0.5872857143,2.806916667,5.241083333,3.5735,-1.657875,-1.130666667
BRCA244,BRCA,3.254,0.3512142857,1.83725,2.0705,1.42975,0.6999166667,-1.49
BRCA245,BRCA,-2.92075,-0.3519285714,-0.4766666667,0.1615,3.622625,-0.44875,-0.868
BRCA246,BRCA,-0.21325,-0.2855,-0.5695833333,-1.255916667,-0.314875,0.01804166667,0.32425
BRCA247,BRCA,2.570375,1.675571429,1.363416667,3.119166667,3.622125,0.19025,-1.018583333
BRCA248,BRCA,2.00225,1.023214286,3.75625,6.110833333,3.07075,-1.935875,-1.84
BRCA249,BRCA,2.549125,0.6915,1.884916667,2.677833333,3.13025,1.660208333,-1.57275
BRCA250,BRCA,-1.1815,0.2270714286,2.073583333,-1.0685,2.72475,0.984125,-1.441333333
BRCA251,BRCA,1.8075,0.8807142857,2.259,2.707583333,2.913625,-0.501,-1.025333333
BRCA252,BRCA,-0.192,-0.05985714286,-1.637416667,-4.026666667,-1.008125,0.3210416667,0.2580833333
BRCA253,BRCA,1.686,0.3369285714,3.654916667,4.159333333,2.56625,-0.046625,-1.474
BRCA254,BRCA,3.395125,0.4382857143,4.041166667,6.001083333,-1.702875,-1.2265,-1.178583333
BRCA255,BRCA,2.856,0.2975,4.339416667,5.561416667,-0.590625,0.05520833333,-1.156333333
BRCA256,BRCA,-1.15875,-0.2245714286,-0.4451666667,-1.186333333,1.754625,-0.1344166667,-0.1153333333
BRCA257,BRCA,0.670625,0.2008571429,1.317833333,1.928333333,0.668375,0.763875,-0.3204166667
BRCA258,BRCA,-5.2445,0.7116428571,0.12225,-4.647166667,0.15375,-0.3489166667,0.4384166667
BRCA259,BRCA,2.836875,0.6293571429,2.9675,2.151666667,1.879375,0.08529166667,-0.3204166667
BRCA260,BRCA,2.9515,0.6482142857,2.249666667,5.184666667,2.773,-3.286541667,-2.375666667
BRCA261,BRCA,-2.98025,0.917,-0.8725833333,-2.379083333,1.24575,-0.4359583333,-1.0275
BRCA262,BRCA,2.474125,0.4057142857,2.145666667,2.87625,1.432,0.930125,-0.8464166667
